UNI,BOLUM,Yabancı Dil,,PUAN,
BOĞAZİÇİ ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği (İngilizce),1,85,546,342
ORTA DOĞU TEKNİK ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği (İngilizce),1,105,539,1178
İSTANBUL TEKNİK ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği (İngilizce),1,110,532,2454
GALATASARAY ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği (Fransızca),1,30,520,5591
HACETTEPE ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği (İngilizce),1,100,516,7208
YILDIZ TEKNİK ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği,0,100,508,11244
TÜRK-ALMAN ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği (Almanca),1,50,498,16772
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ (Devlet),Bilgisayar Mühendisliği (İngilizce),1,80,496,18306
GEBZE TEKNİK ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği (İngilizce),1,85,492,20945
ANKARA ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği (İngilizce),1,70,486,25064
EGE ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği,0,100,483,27645
TÜRK-ALMAN ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği (Almanca),1,10,482,28253
DOKUZ EYLÜL ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği (İngilizce),1,90,480,30078
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA (Devlet),Bilgisayar Mühendisliği,0,85,475,33422
MARMARA ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği,0,48,471,37043
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği (İngilizce),1,80,470,37868
ANKARA ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği,0,80,467,40053
GAZİ ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği,0,90,466,40987
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği (İngilizce),1,80,465,41532
AKDENİZ ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği (İngilizce),1,70,463,43707
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği,0,80,459,46714
KOCAELİ ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği,0,90,455,50656
GAZİ ÜNİVERSİTESİ (Devlet),Bilgisayar Mühendisliği,0,64,454,50737
