,,,,,
,Tıp,SAY,210,484.89131,12281
,Mütercim-Tercümanlık (Fakülte) (İngilizce),DİL,60,400.09141,14790
,İngilizce Öğretmenliği (İngilizce),DİL,85,398.05492,15309
,Özel Eğitim Öğretmenliği,SÖZ,50,398.25138,16017
,Diş Hekimliği,SAY,90,458.99365,24981
,Okul Öncesi Öğretmenliği,SÖZ,60,386.63827,25198
,Türkçe Öğretmenliği,SÖZ,40,382.10626,29763
,Mütercim-Tercümanlık (Fakülte) (Almanca),DİL,60,327.62281,35625
,Almanca Öğretmenliği (Almanca),DİL,50,318.00181,38901
,Eczacılık,SAY,90,433.80708,40369
,Çağdaş Yunan Dili ve Edebiyatı,DİL,30,235.30005,69573
,Sosyal Bilgiler Öğretmenliği,SÖZ,50,352.66307,76621
,Rehberlik ve Psikolojik Danışmanlık,EA,60,352.2537,91887
,İlköğretim Matematik Öğretmenliği,SAY,40,357.90684,102652
,Bilgisayar Mühendisliği,SAY,90,342.42304,120334
,Sınıf Öğretmenliği,EA,60,338.32425,120632
,Beslenme ve Diyetetik (Fakülte),SAY,70,327.229,140964
,Mimarlık,SAY,100,321.07525,150375
,Odyoloji (Fakülte),SAY,50,319.51783,152950
,Elektrik-Elektronik Mühendisliği,SAY,70,313.76881,162619
,İlahiyat,SÖZ,100,321.55611,169785
,Fizyoterapi ve Rehabilitasyon (Fakülte),SAY,80,308.1363,172866
,Hemşirelik (Fakülte),SAY,120,306.13683,176571
,Türk Dili ve Edebiyatı,SÖZ,80,317.13793,187656
,Makine Mühendisliği,SAY,90,298.8678,191511
,Hemşirelik (Yüksekokul),SAY,100,290.652,209987
,Makine Mühendisliği (İÖ),SAY,90,276.24278,248236
,Tarih,SÖZ,80,297.22925,283616
,Genetik ve Biyomühendislik,SAY,50,261.00839,298510
,Türk Dili ve Edebiyatı (İÖ),SÖZ,70,290.14528,323684
,Matematik,SAY,60,252.1922,333650
