kurum,kişi
Trakya Üniversitesi,21
Softtech,13
Turkcell,12
Ronwell Digital,14
Ziraat Teknoloji,9
Ericsson,6
BSH Turkey,6
Kafein Technology Solutions,10
Microsoft,4
Kırklareli Üniversitesi,3
Ener,1
HDF Patent&Danışmanlık,1
Mercesed-Benz Türk A.Ş.,4
KoçSistem,1
HST Global,1
 RE/MAX Türkiye,1
Amazon,1
 Netas,2
 Kuveyt Türk Katılım Bankası,1
 Akbank,5
 VakıfBank,3
Anadolu Sigorta,1
 Trendyol Group,2
 Türkiye Sigorta,1
 n11.com,1
 BOTAS,2
 Yapı Kredi,4
 Garanti BBVA,1
 Fibabanka,1
Halkbank,1
